Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Sepsis,recent_2015_quadratic_month_fe,2015+ quadratic trend + month effects,False,1.9,2.3583333333333334,0.5694164989939638,0.16666666666666674,0.2236067977499791,3.7791103600315923,0.7178683385579935
Sepsis,recency_weighted_24_quadratic_month_fe,Recency-weighted quadratic trend + month effects (24-month half-life),False,2.5,2.9250000000000003,0.7062374245472838,0.18750000000000014,0.22453655975512482,4.309547384651339,0.71551724137931
Sepsis,log_recency_weighted_24_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (24-month half-life),False,2.8,3.125,0.7545271629778673,0.1916666666666668,0.22546248764114485,4.427431297604181,0.7131661442006267
Sepsis,log_recency_weighted_36_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (36-month half-life),False,3.0,3.3000000000000003,0.7967806841046279,0.20416666666666686,0.23540744819709242,4.729155857051853,0.6873040752351094
Sepsis,anchored_quadratic_fourier_80,"Quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,3.8,4.166666666666667,1.006036217303823,0.19166666666666676,0.2397915761656361,4.4214294204103926,0.6755485893416926
Sepsis,recency_weighted_36_quadratic_month_fe,Recency-weighted quadratic trend + month effects (36-month half-life),False,2.8,3.1750000000000003,0.7665995975855131,0.2083333333333335,0.23979157616563612,4.838804979858871,0.6755485893416925
Sepsis,log_anchored_quadratic_fourier_80,"Log-quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,3.8,4.166666666666667,1.006036217303823,0.19583333333333341,0.24238399287081655,4.5120091305553185,0.6684952978056424
Sepsis,log_anchored_quadratic_fourier_70,"Log-quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,3.8,4.133333333333334,0.9979879275653925,0.2000000000000001,0.24494897427831788,4.648470016991862,0.6614420062695924
Sepsis,log_anchored_quadratic_month_fe_60,"Log-quadratic trend + month effects, anchored 60% to recent seasonal mean",True,3.7,4.075,0.9839034205231388,0.21250000000000005,0.2474873734152917,4.938795304076362,0.6543887147335422
Sepsis,anchored_quadratic_fourier_70,"Quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,3.8,4.116666666666666,0.993963782696177,0.20416666666666675,0.2474873734152917,4.755307623829468,0.6543887147335422
Sepsis,anchored_quadratic_month_fe_80,"Quadratic trend + month effects, anchored 80% to recent seasonal mean",True,3.8,4.175,1.0080482897384306,0.20833333333333334,0.2516611478423583,4.81968899287595,0.6426332288401255
Sepsis,log_anchored_quadratic_month_fe_80,"Log-quadratic trend + month effects, anchored 80% to recent seasonal mean",True,3.8,4.175,1.0080482897384306,0.20833333333333334,0.2516611478423583,4.81968899287595,0.6426332288401255
Sepsis,log_recency_weighted_48_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (48-month half-life),True,3.1,3.4,0.8209255533199195,0.2166666666666668,0.25166114784235843,5.049065541067629,0.6426332288401252
Sepsis,log_anchored_quadratic_fourier_60,"Log-quadratic trend + Fourier seasonality, anchored 60% to recent seasonal mean",True,3.7,4.066666666666666,0.9818913480885312,0.2083333333333334,0.25166114784235843,4.8541340765110945,0.6426332288401253
